Alter;Geschlecht;Vertragsenddatum;Bereich;Standort;Vertragsart;Austrittsdatum;Betriebszugehoerigkeit;FTE;FK;Abteilungsgroeﬂe;Zeit_auf_Position;Mitarbeiterstatus;Aktiv;2023_Ziele;2023_Pers_Beurteilung;2024_Ziele;2024_Pers_Beurteilung;Krankenstand_2023;Krankenstand_2024;Gehaltsentwicklung
41-50;M;;Werk;E;Permanent;;18-20;1.0;0;6.08898337928127;18-20;Active;1;#NV;Durchschnitt;#NV;#NV;1 % - 3 %;3,1 - 5%;5%-9%
18-24;M;;Gesch‰ftsbereich;G;Permanent;;0-2;0.0;0;264.24340925969256;0-2;Active;0;Unterdurchschnitt;Durchschnitt;#NV;#NV;3,1 - 5%;3,1 - 5%;
41-50;M;;Werk;E;Permanent;30.09.2024;27-29;0.0;1;7.487001650741511;"""6-8""";Active;1;#NV;‹berdurchschnitt;#NV;#NV;;5,1 - 10%;5%-9%
31-40;M;;Gesch‰ftsbereich;E;Fixed term contract;28.02.2025;"""3-5""";999.0;1;27.56917869676387;"""3-5""";Terminated;0;‹berdurchschnitt;#NV;#NV;Durchschnitt;;;
51-60;M;30.09.2026;Gesch‰ftsbereich;G;Fixed term contract;;15-17;0.0;1;2.6404450178402223;0-2;Active;0;Durchschnitt;#NV;#NV;#NV;1 % - 3 %;;
31-40;F;31.03.2025;Gesch‰ftsbereich;A;Permanent;;"""9-11""";1.0;1;15.422760193128694;"""9-11""";Terminated;1;Durchschnitt;#NV;#NV;Unrated;3,1 - 5%;;15%-19%
18-24;M;;HQ;D;Permanent;;0-2;999.0;0;262.8753192069671;0-2;Active;0;#NV;#NV;#NV;#NV;5,1 - 10%;;
31-40;F;;Werk;E;Fixed term contract;;"""6-8""";999.0;1;53.4551672359144;"""6-8""";Active;0;#NV;#NV;#NV;#NV;1 % - 3 %;;15%-19%
31-40;M;28.04.2023;Gesch‰ftsbereich;B;Permanent;;0-2;0.0;0;101.63730221048858;0-2;Active;0;#NV;#NV;#NV;Durchschnitt;1 % - 3 %;;
31-40;M;;Gesch‰ftsbereich;C;Permanent;31.07.2022;"""12-14""";0.0;0;165.8060610428866;0-2;Active;1;Durchschnitt;#NV;Durchschnitt;Unterdurchschnitt;;3,1 - 5%;25%-29%
51-60;F;;Gesch‰ftsbereich;E;Permanent;;"""9-11""";1.0;1;96.00813876400872;"""3-5""";Active;1;#NV;‹berdurchschnitt;‹berdurchschnitt;#NV;1 % - 3 %;5,1 - 10%;5%-9%
41-50;F;;HQ;B;Permanent;;27-29;999.0;1;62.22338187282868;"""3-5""";Terminated;1;‹berdurchschnitt;#NV;#NV;‹berdurchschnitt;;3,1 - 5%;5%-9%
31-40;F;;Werk;G;Permanent;;"""6-8""";0.0;0;26.058820882595736;0-2;Terminated;0;#NV;#NV;#NV;#NV;1 % - 3 %;;15%-19%
41-50;F;;Gesch‰ftsbereich;E;Permanent;;"""3-5""";1.0;1;73.87297884251127;0-2;Active;0;‹berdurchschnitt;Durchschnitt;#NV;‹berdurchschnitt;;kleiner 1%;
‹ber 60;M;;Werk;G;Permanent;;27-29;0.0;1;58.491429861715;18-20;Active;1;‹berdurchschnitt;‹berdurchschnitt;#NV;#NV;;10,1 - 15%;
51-60;M;;HQ;E;Permanent;;33-35;1.0;0;13.296769015590305;18-20;Active;1;#NV;#NV;#NV;Durchschnitt;;40,1 - 60%;5%-9%
41-50;F;;Gesch‰ftsbereich;D;Permanent;;27-29;0.0;0;53.361216105519;"""6-8""";Active;1;Durchschnitt;#NV;Durchschnitt;#NV;;1,0 - 3 %;10%-14%
